image,read color,read depth,isInFrame(),getCenter(),get_module_depth(),region_of_interest(),get_module_orientation(),getModuleBounds(),get_module_roll(),exec time (s)
vision/vision_images/module/Feb29/2020-02-29_15.36.19.554962-colorImage.jpg,True,True,False,,,,,,,0.09190845489501953
vision/vision_images/module/Feb29/2020-02-29_15.36.20.490035-colorImage.jpg,True,True,False,,,,,,,0.09422135353088379
vision/vision_images/module/Feb29/2020-02-29_15.36.20.594546-colorImage.jpg,True,True,False,,,,,,,0.09882378578186035
vision/vision_images/module/Feb29/2020-02-29_15.36.21.509366-colorImage.jpg,True,True,False,,,,,,,0.10216474533081055
vision/vision_images/module/Feb29/2020-02-29_15.36.21.617182-colorImage.jpg,True,True,False,,,,,,,0.09784078598022461
vision/vision_images/module/Feb29/2020-02-29_15.38.13.780424-colorImage.jpg,True,True,False,,,,,,,0.09009242057800293
vision/vision_images/module/Feb29/2020-02-29_15.38.14.952363-colorImage.jpg,True,True,False,,,,,,,0.10062742233276367
vision/vision_images/module/Feb29/2020-02-29_15.38.16.170992-colorImage.jpg,True,True,False,,,,,,,0.10129404067993164
vision/vision_images/module/Feb29/2020-02-29_15.38.16.286869-colorImage.jpg,True,True,False,,,,,,,0.09914088249206543
vision/vision_images/module/Feb29/2020-02-29_15.38.18.408314-colorImage.jpg,True,True,True,1115 . 660,1523.09136331192,Found,-30.00643379045909 . 18.572348510407306,Found,Crash,0.21537160873413086
vision/vision_images/module/Feb29/2020-02-29_15.38.19.407500-colorImage.jpg,True,True,False,,,,,,,0.10526227951049805
vision/vision_images/module/Feb29/2020-02-29_15.38.19.526568-colorImage.jpg,True,True,True,981 . 581,1581.4415584415585,Found,-1.4216852293466085 . 11.063427991889052,Found,Crash,0.2219865322113037
vision/vision_images/module/Feb29/2020-02-29_15.38.21.855788-colorImage.jpg,True,True,False,,,,,,,0.10789370536804199
vision/vision_images/module/Feb29/2020-02-29_15.38.21.949488-colorImage.jpg,True,True,False,,,,,,,0.10570001602172852
vision/vision_images/module/Feb29/2020-02-29_15.38.22.999718-colorImage.jpg,True,True,False,,,,,,,0.10212302207946777
vision/vision_images/module/Feb29/2020-02-29_15.38.23.089800-colorImage.jpg,True,True,False,,,,,,,0.10725951194763184
vision/vision_images/module/Feb29/2020-02-29_15.38.24.240662-colorImage.jpg,True,True,False,,,,,,,0.11556863784790039
vision/vision_images/module/Feb29/2020-02-29_15.38.24.371124-colorImage.jpg,True,True,False,,,,,,,0.10449004173278809
vision/vision_images/module/Feb29/2020-02-29_15.38.25.024174-colorImage.jpg,True,True,False,,,,,,,0.10168290138244629
vision/vision_images/module/Feb29/2020-02-29_15.38.25.131946-colorImage.jpg,True,True,False,,,,,,,0.10057258605957031
vision/vision_images/module/Feb29/2020-02-29_15.38.25.933502-colorImage.jpg,True,True,False,,,,,,,0.1036076545715332
vision/vision_images/module/Feb29/2020-02-29_15.38.26.030175-colorImage.jpg,True,True,False,,,,,,,0.10156869888305664
vision/vision_images/module/Feb29/2020-02-29_15.38.27.037261-colorImage.jpg,True,True,False,,,,,,,0.09946060180664062
vision/vision_images/module/Feb29/2020-02-29_15.38.35.703917-colorImage.jpg,True,True,False,,,,,,,0.10539674758911133
vision/vision_images/module/Feb29/2020-02-29_15.38.35.796644-colorImage.jpg,True,True,False,,,,,,,0.10514974594116211
vision/vision_images/module/Feb29/2020-02-29_15.38.36.871059-colorImage.jpg,True,True,False,,,,,,,0.10332369804382324
vision/vision_images/module/Feb29/2020-02-29_15.38.36.998015-colorImage.jpg,True,True,False,,,,,,,0.10138583183288574
vision/vision_images/module/Feb29/2020-02-29_15.38.38.020474-colorImage.jpg,True,True,False,,,,,,,0.10492086410522461
vision/vision_images/module/Feb29/2020-02-29_15.38.39.032614-colorImage.jpg,True,True,False,,,,,,,0.09886407852172852
vision/vision_images/module/Feb29/2020-02-29_15.38.39.129822-colorImage.jpg,True,True,False,,,,,,,0.0993952751159668
vision/vision_images/module/Feb29/2020-02-29_15.38.40.264657-colorImage.jpg,True,True,False,,,,,,,0.09745407104492188
vision/vision_images/module/Feb29/2020-02-29_15.38.47.372181-colorImage.jpg,True,True,False,,,,,,,0.09941434860229492
vision/vision_images/module/Feb29/2020-02-29_15.38.48.680666-colorImage.jpg,True,True,False,,,,,,,0.0975644588470459
vision/vision_images/module/Feb29/2020-02-29_15.38.49.665034-colorImage.jpg,True,True,False,,,,,,,0.1069645881652832
vision/vision_images/module/Feb29/2020-02-29_15.38.49.773725-colorImage.jpg,True,True,False,,,,,,,0.10545563697814941
vision/vision_images/module/Feb29/2020-02-29_15.38.51.364047-colorImage.jpg,True,True,False,,,,,,,0.09351277351379395
vision/vision_images/module/Feb29/2020-02-29_15.38.51.478452-colorImage.jpg,True,True,False,,,,,,,0.08890295028686523
vision/vision_images/module/Feb29/2020-02-29_15.38.52.449824-colorImage.jpg,True,True,False,,,,,,,0.09990549087524414
vision/vision_images/module/Feb29/2020-02-29_15.38.52.567045-colorImage.jpg,True,True,False,,,,,,,0.09996175765991211
vision/vision_images/module/Feb29/2020-02-29_15.39.01.585199-colorImage.jpg,True,True,False,,,,,,,0.10892558097839355
vision/vision_images/module/Feb29/2020-02-29_15.39.01.678540-colorImage.jpg,True,True,False,,,,,,,0.10761141777038574
vision/vision_images/module/Feb29/2020-02-29_15.39.03.101439-colorImage.jpg,True,True,False,,,,,,,0.10618042945861816
vision/vision_images/module/Feb29/2020-02-29_15.39.03.231298-colorImage.jpg,True,True,False,,,,,,,0.1037142276763916
vision/vision_images/module/Feb29/2020-02-29_15.39.03.893830-colorImage.jpg,True,True,False,,,,,,,0.10051846504211426
vision/vision_images/module/Feb29/2020-02-29_15.39.04.815338-colorImage.jpg,True,True,False,,,,,,,0.09972572326660156
vision/vision_images/module/Feb29/2020-02-29_15.39.04.932718-colorImage.jpg,True,True,False,,,,,,,0.10672807693481445
vision/vision_images/module/Feb29/2020-02-29_15.39.05.549239-colorImage.jpg,True,True,False,,,,,,,0.10211539268493652
vision/vision_images/module/Feb29/2020-02-29_15.39.06.386740-colorImage.jpg,True,True,False,,,,,,,0.10581541061401367
vision/vision_images/module/Feb29/2020-02-29_15.39.07.207007-colorImage.jpg,True,True,False,,,,,,,0.105194091796875
vision/vision_images/module/Feb29/2020-02-29_15.39.07.318249-colorImage.jpg,True,True,False,,,,,,,0.10532784461975098
vision/vision_images/module/Feb29/2020-02-29_15.39.08.286325-colorImage.jpg,True,True,False,,,,,,,0.10077214241027832
vision/vision_images/module/Feb29/2020-02-29_15.39.08.393650-colorImage.jpg,True,True,False,,,,,,,0.09285306930541992
vision/vision_images/module/Feb29/2020-02-29_15.39.09.260491-colorImage.jpg,True,True,False,,,,,,,0.1036984920501709
vision/vision_images/module/Feb29/2020-02-29_15.39.09.376061-colorImage.jpg,True,True,False,,,,,,,0.1050112247467041
vision/vision_images/module/Feb29/2020-02-29_15.39.11.662306-colorImage.jpg,True,True,False,,,,,,,0.10785079002380371
vision/vision_images/module/Feb29/2020-02-29_15.39.11.772621-colorImage.jpg,True,True,False,,,,,,,0.10856938362121582
vision/vision_images/module/Feb29/2020-02-29_15.39.12.733339-colorImage.jpg,True,True,False,,,,,,,0.1114954948425293
vision/vision_images/module/Feb29/2020-02-29_15.39.13.720341-colorImage.jpg,True,True,False,,,,,,,0.1089315414428711
vision/vision_images/module/Feb29/2020-02-29_15.39.14.613446-colorImage.jpg,True,True,False,,,,,,,0.1080319881439209
vision/vision_images/module/Feb29/2020-02-29_15.39.14.738058-colorImage.jpg,True,True,False,,,,,,,0.10716414451599121
vision/vision_images/module/Feb29/2020-02-29_15.40.35.490833-colorImage.jpg,True,True,False,,,,,,,0.10463500022888184
vision/vision_images/module/Feb29/2020-02-29_15.40.36.577191-colorImage.jpg,True,True,False,,,,,,,0.11235284805297852
vision/vision_images/module/Feb29/2020-02-29_15.40.38.363928-colorImage.jpg,True,True,True,981 . 581,863.324375,Found,0.04082323599501516 . -0.07392999705193329,Found,Crash,0.21321702003479004
vision/vision_images/module/Feb29/2020-02-29_15.40.40.348584-colorImage.jpg,True,True,True,934 . 621,814.4829142488717,Found,-5.895230403064552 . -4.203680890120576,Found,Crash,0.20969820022583008
vision/vision_images/module/Feb29/2020-02-29_15.40.40.444538-colorImage.jpg,True,True,True,920 . 677,792.8703312191684,Found,-15.356879473999978 . 0.8795896266891547,Found,Crash,0.20380449295043945
vision/vision_images/module/Feb29/2020-02-29_15.40.41.221677-colorImage.jpg,True,True,True,536 . 723,430.22639149468415,Found,5.85552897529246 . -2.1069078352889177,Found,Crash,0.20346593856811523
vision/vision_images/module/Feb29/2020-02-29_15.40.41.313994-colorImage.jpg,True,True,True,624 . 747,408.06883604505634,Found,4.018929859990321 . -2.1155612601657245,Found,Crash,0.20619440078735352
vision/vision_images/module/Feb29/2020-02-29_15.40.42.330979-colorImage.jpg,True,True,False,,,,,,,0.10514283180236816
vision/vision_images/module/Feb29/2020-02-29_15.40.42.462549-colorImage.jpg,True,True,False,,,,,,,0.09979510307312012
vision/vision_images/module/Feb29/2020-02-29_15.40.43.187957-colorImage.jpg,True,True,False,,,,,,,0.10098791122436523
vision/vision_images/module/Feb29/2020-02-29_15.40.44.466216-colorImage.jpg,True,True,False,,,,,,,0.10081052780151367
vision/vision_images/module/Feb29/2020-02-29_15.40.45.494239-colorImage.jpg,True,True,False,,,,,,,0.1026463508605957
